Year,Population (England),d/day,silver purity,penny weight in g,Ag per penny g,£/kg,g. Ag/day,bread d/lb,Cost in d for 2500 Kcal,Minutes Req,Cost in Silver for 2500 Kcal Bread,min per g Ag,60 min labour in silver,60 min labour in bread
1674,5188859.769148219,9.792906224202664,0.9300000001130442,0.5179802954875812,0.4799936364598908,8.700308310656256,4.661977750757066,1.205891154681989,2.512273239163979,122.93229617957095,1.2064720176185109,102.1885928373591,0.5862188748618884,0.5322522660240501
1675,5189457.86677222,9.819503391926219,0.9300000000952935,0.5179731445576115,0.47999132704370373,8.700420198823451,4.67164101536066,1.1747901247982886,2.447479426856397,119.44694823748634,1.1757346995293705,101.86184715570818,0.5871799413661323,0.5501871160070555
1676,5189299.335054442,9.849740288295672,0.9300000000699193,0.5179681420630327,0.4799897114640204,8.700498471084767,4.6835729987354,1.146865884930725,2.3893039270803027,116.2458444364028,1.1481386054778804,101.50615370160061,0.5883666125610855,0.5681069967094966
1677,5186974.282518333,9.871908397287779,0.9300000000477029,0.5179683263599822,0.47998977096980827,8.700495587333082,4.692374888886705,1.1282247525171145,2.3504682345066157,114.10059771211237,1.1297670884991984,101.242122258976,0.589241954021949,0.5820482254600114
1678,5182482.709163889,9.88600771890254,0.9300000000286446,0.5179736974484601,0.4799915055610676,8.700411547568395,4.698046685814575,1.118866727557457,2.330972349135337,113.01120806461516,1.1206201485933245,101.06975282783438,0.5898059657487227,0.5920108022586006
1679,5175824.614991112,9.892038253139946,0.9300000000127435,0.517984255328466,0.4799949152377982,8.700246351790698,4.700588389519006,1.1187918100517522,2.3308162709664657,112.97767549391102,1.1206977857602582,100.98904540817571,0.5900586477414064,0.5979947271052632
1680,5167000.0,9.89,0.93,0.518,0.48,8.7,4.7,1.128,2.35,114.0,1.13,101.0,0.59,0.6
1681,5156008.864190556,9.87989295948271,0.9299999999904149,0.5180209314630625,0.4800067598476732,8.6996724921963,4.696281517257559,1.146491297402201,2.3885235362359434,116.07818158288217,1.14852679131255,101.10261660330733,0.5896300225245041,0.5980266209428108
1682,5142851.207562778,9.861717131588073,0.9299999999839872,0.5180470497176531,0.48001519478081767,8.699263828379593,4.689432941291682,1.1742657022583551,2.446386879674294,119.21222024255744,1.176278159697908,101.29689521809757,0.5889487153149182,0.5920745899336955
1683,5127527.030116664,9.835472516316077,0.9299999999807169,0.5180783547637717,0.4800253047994333,8.69877400854988,4.679454272102366,1.2113232145684614,2.5235900303150505,123.40211597902581,1.2132541051560737,101.58283584437078,0.5879560783712423,0.5821439069726538
1684,5110036.331852219,9.801159113666737,0.9299999999806048,0.5181148466014186,0.4800370899035204,8.698203032707164,4.666345509689615,1.2576638343325213,2.620132988158215,128.64786879228737,1.2594546276870473,101.96043848212699,0.5866521116934766,0.5682345720596864
1685,5090379.112769441,9.758776923640047,0.9299999999836503,0.5181565252305939,0.4800505500930788,8.697550900851446,4.650106654053428,1.3132875615505337,2.7360157532037874,134.94947868234206,1.3148797272908292,102.42970313136618,0.5850368152816212,0.5503465851947928
1686,5071731.564665107,9.716092579722154,0.9299999999880038,0.5181856818413215,0.4800599662751909,8.697094696927612,4.6338592660929665,1.3674082838445034,2.8487672579930567,141.09513027780937,1.3687144487113447,102.90459153009607,0.5834185736472359,0.5324308715143159
1687,5057269.879335995,9.680872715399202,0.9299999999918156,0.518184607623626,0.48005961935693897,8.69711150488055,4.620724906707393,1.4092398888364348,2.9359164350673126,145.87300820730883,1.4101438366925194,103.29906541632438,0.5821057713018812,0.5184383561545981
1688,5046994.056782108,9.653117330671195,0.9299999999950859,0.5181533025775074,0.48004950933832335,8.697601324710265,4.610703575896709,1.4387823765263288,2.997463284426556,149.28311247084048,1.439167891234354,103.61312479005117,0.5810984082455573,0.5083690391156397
1689,5040904.097003443,9.632826425538127,0.9299999999978139,0.5180917667029653,0.48002963621934364,8.698564156416746,4.60379527366091,1.4560357469141836,3.033407806070785,151.32544306840416,1.4557866123368473,103.84676965127638,0.5803964844782634,0.5022229203974403
1690,5039000.0,9.62,0.93,0.518,0.48,8.7,4.6,1.461,3.04375,152.0,1.46,104.0,0.58,0.5
1691,5041281.765771782,9.614638054056819,0.930000000001645,0.5178780024686117,0.47996060068029256,8.701908855460028,4.599317754913978,1.4536751357837787,3.0284898662142035,151.306783265628,1.4518080542238119,104.0728158362221,0.5799089548107673,0.5017002779233192
1692,5047749.394318786,9.61674058770858,0.9300000000027477,0.5177257741088002,0.4799114382602212,8.704290722796829,4.601748538402844,1.434061154265519,2.987627404713393,149.24579286528817,1.4312107750082834,104.06521715994262,0.5801233489105649,0.5073237541673974
1693,5058402.885641012,9.626307600955279,0.9300000000033086,0.5175433149205653,0.47985251273978574,8.7071456020104,4.607292350466596,1.4021580554452204,2.9211626154975683,145.81702879898035,1.3982081623534135,103.97720397116154,0.5806431822993929,0.5168704287322347
1694,5073242.2397384625,9.643339093796923,0.9300000000033277,0.5173306249039071,0.47978382411898657,8.710473493100745,4.615949191105238,1.357965839322884,2.8290954985667307,141.02049106670475,1.3528002162592037,103.80877626987895,0.5814684549772515,0.5303403016178312
1695,5092267.456611136,9.667835066233511,0.9300000000028052,0.517087704058826,0.47970537239782335,8.71427439606786,4.627719060318768,1.3014845058985094,2.7114260539208805,134.8561796684613,1.2949869367256528,103.55993405609479,0.5825991669441406,0.5477333728241871
1696,5113311.276954918,9.696104233371415,0.9300000000020584,0.5168644335570386,0.4796504908848343,8.717733347349549,4.641271404706795,1.2440844120022538,2.591842524961359,128.54337389674092,1.2363747022540497,103.26629711782303,0.5839219455554985,0.5653077742046079
1697,5134206.441465695,9.724455310317017,0.9300000000014044,0.5167106945702623,0.47965251288855737,8.720035383383609,4.6552756708689325,1.1971359144642753,2.4940331550895105,123.3013530440346,1.188569891345683,102.96348524307767,0.5853234181667633,0.5793216376123996
1698,5154952.9501434695,9.752888297070317,0.9300000000008435,0.5166264870984973,0.47971143840899294,8.721180504170036,4.66973185880518,1.1606390132845736,2.417997944305335,119.13011711034235,1.1515725040005529,102.65149843185876,0.5868035847779354,0.5897749630475624
1699,5175550.802988238,9.781403193631311,0.9300000000003754,0.5166118111417433,0.4798272674461404,8.721168709708834,4.684639968515535,1.1345937084631486,2.363736892608831,116.02966609566417,1.1253825402186584,102.33033668416618,0.5883624453890142,0.5966677505100958
1700,5196000.0,9.81,0.93,0.5166666667,0.48,8.72,4.7,1.119,2.33125,114.0,1.11,102.0,0.59,0.6
1701,5216300.54117876,9.83867871617639,0.9299999999997182,0.5167910537732682,0.480229636070572,8.717674375043538,4.715811953258576,1.1138578878951286,2.3205372664788415,113.04111882334996,1.1054248833445783,101.66048837936022,0.5917162486108929,0.5997717115172754
1702,5236452.426524514,9.867439342160473,0.929999999999529,0.5169849723615473,0.4805161756578561,8.714191834839447,4.73207582829126,1.1191673721485338,2.3315986920453557,113.15302256571394,1.1116571902523926,101.31180182224685,0.5935111912216928,0.5959828850619215
1703,5256455.656037262,9.89628187795225,0.9299999999994324,0.5172484224648373,0.4808596187618522,8.70955237938772,4.748791625098051,1.1349284527602155,2.3644342766995416,114.33571122709196,1.128696920723443,100.95394032865983,0.5953848278323997,0.5886335206339384
1704,5276310.229717007,9.925206323551727,0.9299999999994292,0.5175814040831385,0.48125996538256066,8.703756008688366,4.765959343678954,1.1611411297301744,2.419044020441401,116.58918480748406,1.1565440747577296,100.58690389859923,0.5973371584430136,0.5777236182333263
1705,5296016.147563747,9.9542126789589,0.9299999999995188,0.5179839172164507,0.48171721551998126,8.696802722741381,4.783578984033967,1.19780540305841,2.495427923270932,119.91344330689023,1.1951986523552525,100.21069253206502,0.5993681830535346,0.5632531778600851
1706,5315480.773605388,9.979282020049357,0.9299999999996469,0.5182810503084468,0.4820370884158034,8.691705218975086,4.798512305666261,1.2371252441419727,2.5773442589187887,123.56462634174517,1.2362373377643552,99.89762576296562,0.6010497530197727,0.5477224832580369
1707,5334611.471869832,9.996395422698699,0.929999999999759,0.5182978918028,0.4820253033117163,8.691476194817803,4.807621068079012,1.2713046243779131,2.6485513011156243,126.79887352848361,1.2712368152333813,99.72002312520942,0.6019537196975384,0.5336318181710045
